Member_number,Date,itemDescription,Frequency,Frequency_per_date,Item_Sold
4564,2015-07-08,rolls/buns,17,4,3
3337,2015-05-14,beef,16,4,1
4931,2015-05-04,whole milk,14,4,9
2623,2015-10-10,processed cheese,9,4,2
4581,2015-04-03,tropical fruit,6,4,2
2635,2015-06-11,frankfurter,6,4,1
1095,2015-10-30,packaged fruit/vegetables,8,4,1
2990,2015-05-23,whole milk,24,4,2
2426,2015-06-05,berries,17,4,1
4555,2015-11-07,citrus fruit,14,4,4
3635,2015-09-04,tropical fruit,21,6,3
3058,2015-05-18,hamburger meat,8,4,2
4391,2015-03-26,hamburger meat,14,4,1
1306,2015-06-23,whole milk,9,4,5
1024,2015-08-10,fish,4,4,1
1295,2015-07-23,frankfurter,8,4,2
1661,2015-06-01,packaged fruit/vegetables,17,4,1
4591,2015-05-15,pastry,9,4,4
3169,2015-06-14,other vegetables,6,4,5
3915,2015-05-21,misc. beverages,31,4,2
1127,2015-01-14,frankfurter,12,4,3
4828,2015-08-08,sparkling wine,24,4,1
3683,2015-06-10,specialty bar,14,4,2
1971,2015-09-18,sausage,8,4,1
3014,2015-11-11,curd cheese,17,4,1
3779,2015-09-15,frankfurter,15,4,3
2489,2015-05-04,whole milk,10,4,9
3564,2015-06-27,newspapers,8,4,1
4092,2015-09-30,berries,10,4,2
3221,2015-01-13,curd,23,4,3
1279,2015-09-06,tropical fruit,17,4,1
2581,2015-08-22,soda,12,4,1
2295,2015-02-25,rolls/buns,10,4,3
4760,2015-02-22,canned beer,18,4,2
3649,2015-01-16,canned beer,17,4,2
1075,2015-11-19,frankfurter,11,4,2
3987,2015-08-19,other vegetables,11,4,3
4106,2015-08-25,whole milk,13,4,5
4338,2015-06-24,whole milk,28,4,3
4166,2015-11-06,citrus fruit,14,4,1
1211,2015-03-10,frankfurter,16,4,2
3954,2015-01-21,frankfurter,7,5,3
3928,2015-07-18,butter milk,10,5,1
3827,2015-09-30,hamburger meat,17,5,2
4699,2015-02-08,pasta,18,5,1
4747,2015-06-08,other vegetables,16,5,3
3028,2015-06-09,sausage,15,5,2
2851,2015-03-16,rolls/buns,29,5,1
4417,2015-02-25,grapes,15,5,1
3822,2015-03-07,root vegetables,19,5,3
2288,2015-05-31,coffee,12,5,1
2184,2015-06-30,popcorn,24,5,1
4554,2015-08-27,whole milk,9,2,4
3361,2015-03-05,tropical fruit,22,2,5
2999,2015-04-17,beef,8,2,2
2614,2015-06-25,whole milk,2,2,6
4064,2015-06-05,frankfurter,6,2,1
3567,2015-10-04,tropical fruit,5,2,4
2587,2015-05-07,canned beer,13,2,2
3783,2015-06-17,finished products,23,2,1
1923,2015-02-14,beverages,12,2,1
4835,2015-02-19,hamburger meat,14,2,1
1514,2015-08-24,whole milk,10,2,3
3154,2015-06-22,finished products,11,2,3
1313,2015-12-25,other vegetables,2,2,3
2794,2015-07-18,ham,18,2,2
2359,2015-04-09,other vegetables,13,2,3
2238,2015-03-09,curd,13,2,1
3795,2015-01-17,bottled beer,8,2,1
3724,2015-11-26,curd,6,2,1
1152,2015-03-05,whole milk,8,2,5
4559,2015-03-16,whole milk,10,2,2
3922,2015-02-27,dessert,18,2,1
1709,2015-04-22,sausage,4,2,3
2219,2015-04-17,other vegetables,6,2,4
2206,2015-10-17,ham,7,2,1
1752,2015-04-06,other vegetables,10,2,7
3942,2015-11-10,other vegetables,23,2,4
3296,2015-08-17,soda,14,2,2
2257,2015-02-05,herbs,8,2,1
4313,2015-07-28,frankfurter,10,2,3
2001,2015-08-21,rolls/buns,20,2,9
2449,2015-07-08,curd,8,2,2
4914,2015-04-12,frankfurter,10,2,4
2764,2015-07-24,other vegetables,13,2,1
4187,2015-05-09,dog food,21,2,1
1392,2015-04-20,specialty bar,6,2,2
3427,2015-04-28,curd,9,2,2
1411,2015-02-20,frankfurter,4,2,3
3390,2015-11-14,soda,11,2,3
4787,2015-08-01,beef,12,2,2
3310,2015-01-17,canned beer,11,2,1
1782,2015-10-10,pork,13,2,2
3375,2015-04-26,frankfurter,7,2,2
2760,2015-01-07,sausage,23,2,4
4249,2015-09-13,canned beer,11,2,3
2904,2015-06-06,specialty chocolate,10,2,2
4090,2015-02-26,curd,6,2,1
3060,2015-07-05,canned beer,7,2,1
3768,2015-10-07,whole milk,16,2,5
1232,2015-01-21,rolls/buns,7,2,4
1360,2015-10-23,pork,16,2,4
1107,2015-10-01,citrus fruit,20,2,2
2865,2015-11-04,pot plants,8,2,1
2958,2015-06-14,rolls/buns,10,2,4
2448,2015-07-12,butter,17,2,1
1222,2015-09-24,condensed milk,4,2,1
2943,2015-06-20,sausage,8,2,4
2270,2015-08-11,whole milk,22,2,3
3812,2015-07-21,sausage,20,2,2
1482,2015-11-22,beverages,20,2,2
4720,2015-02-22,beverages,13,2,2
1344,2015-09-04,bottled water,6,2,4
2397,2015-10-04,newspapers,6,2,1
4182,2015-05-12,cleaner,14,2,1
4487,2015-07-10,sausage,19,2,4
3467,2015-12-24,newspapers,13,2,1
2443,2015-11-15,sausage,21,2,3
2749,2015-01-27,misc. beverages,7,2,4
4389,2015-04-13,white wine,17,2,1
1674,2015-12-04,sausage,12,2,3
4262,2015-10-16,meat,17,2,1
2082,2015-04-07,frankfurter,10,2,2
4494,2015-01-06,ice cream,21,2,1
2460,2015-09-28,canned beer,9,2,2
4509,2015-11-29,tropical fruit,20,6,1
2267,2015-07-03,meat,15,2,2
4891,2015-09-05,whole milk,13,2,2
3962,2015-09-20,sausage,14,2,4
4964,2015-07-18,frankfurter,4,2,2
2914,2015-11-30,meat,9,2,2
2808,2015-05-05,root vegetables,6,2,2
1085,2015-08-15,root vegetables,7,2,4
3808,2015-08-18,whole milk,10,2,6
4149,2015-01-07,citrus fruit,9,2,1
2331,2015-06-05,citrus fruit,13,2,1
4475,2015-04-03,other vegetables,5,2,3
2761,2015-04-25,citrus fruit,15,2,3
2620,2015-12-14,sausage,8,2,4
3206,2015-10-13,frankfurter,12,2,2
1226,2015-04-13,hard cheese,10,2,1
1395,2015-03-07,cream cheese ,23,2,2
2465,2015-06-07,turkey,11,2,1
3572,2015-07-09,pork,4,2,3
4387,2015-05-08,whole milk,17,2,2
1555,2015-03-27,rolls/buns,2,2,2
1181,2015-11-16,sausage,8,2,1
2814,2015-05-11,ice cream,17,2,2
2794,2015-09-16,liquor,18,2,1
2912,2015-01-28,pip fruit,11,2,3
4667,2015-01-12,root vegetables,17,2,2
2235,2015-10-25,soda,13,2,6
2353,2015-05-02,soda,9,2,4
3449,2015-03-08,sausage,8,2,3
1058,2015-11-10,root vegetables,8,2,5
1027,2015-05-17,pork,9,2,3
3302,2015-05-22,pork,6,2,2
2229,2015-05-30,chocolate,22,2,1
2188,2015-08-15,fruit/vegetable juice,10,2,1
1547,2015-04-18,pickled vegetables,7,2,1
1649,2015-06-30,bottled water,18,2,2
3254,2015-09-10,frankfurter,10,2,1
2818,2015-11-07,tropical fruit,6,2,3
2703,2015-05-08,canned beer,9,2,3
3332,2015-01-31,root vegetables,5,3,2
2473,2015-07-01,meat,6,3,1
2810,2015-12-30,frankfurter,17,3,2
1033,2015-04-22,tropical fruit,12,3,3
4222,2015-05-27,tropical fruit,13,3,6
3679,2015-09-21,citrus fruit,21,3,2
2212,2015-08-27,hamburger meat,12,3,1
1507,2015-06-22,chicken,16,3,1
2870,2015-01-21,chicken,13,3,3
3429,2015-04-26,frankfurter,18,3,2
4148,2015-04-09,canned beer,12,3,1
2970,2015-12-30,turkey,7,3,1
2013,2015-08-30,packaged fruit/vegetables,7,3,1
3967,2015-05-30,pasta,16,3,1
2885,2015-05-15,citrus fruit,14,3,5
3935,2015-07-02,sausage,8,3,1
3283,2015-05-01,whole milk,9,3,6
3268,2015-11-06,canned beer,16,3,5
3677,2015-04-30,citrus fruit,13,3,2
3495,2015-06-27,liquor (appetizer),22,3,2
1410,2015-10-04,citrus fruit,27,3,4
2440,2015-06-06,sausage,25,3,1
4088,2015-01-13,chicken,10,3,1
2469,2015-09-23,hamburger meat,13,3,1
4229,2015-03-06,sausage,8,3,2
2728,2015-08-02,beef,5,3,2
4694,2015-01-25,citrus fruit,20,3,3
2836,2015-12-29,UHT-milk,12,3,2
1311,2015-02-12,candy,8,3,2
1760,2015-01-23,newspapers,8,3,3
3656,2015-03-02,beef,9,3,1
3720,2015-05-28,sausage,8,3,5
2996,2015-09-26,frankfurter,14,3,1
1949,2015-07-22,canned beer,15,3,3
4498,2015-02-11,bottled beer,11,3,5
2447,2015-12-28,onions,21,3,1
1952,2015-03-23,tropical fruit,10,3,2
4099,2015-01-27,bottled water,5,3,2
1804,2015-03-12,beef,9,3,2
1510,2015-05-16,sausage,18,3,5
2879,2015-04-18,hair spray,13,3,1
4899,2015-03-12,chicken,10,3,3
4326,2015-09-29,pork,12,3,3
1670,2015-05-17,ice cream,9,3,1
1117,2015-05-24,meat,3,3,3
1346,2015-04-03,other vegetables,7,3,3
1178,2015-11-15,bottled water,11,3,1
1649,2015-06-25,tropical fruit,18,3,6
4651,2015-06-21,photo/film,8,3,1
4243,2015-04-02,sausage,16,3,3
4429,2015-07-21,grapes,3,3,2
4645,2015-07-25,domestic eggs,20,3,2
4019,2015-07-24,rolls/buns,17,3,2
4459,2015-04-26,tropical fruit,12,3,4
3006,2015-12-27,chicken,7,3,1
1834,2015-09-17,frankfurter,7,3,2
3236,2015-07-04,berries,10,3,1
1765,2015-03-11,margarine,8,3,1
3855,2015-03-09,tropical fruit,18,3,3
4392,2015-11-28,ham,13,3,1
3330,2015-07-26,hamburger meat,5,3,1
1723,2015-09-02,yogurt,10,3,2
4110,2015-03-30,soda,16,3,3
2600,2015-01-28,yogurt,19,3,3
2946,2015-10-07,soda,18,3,2
2426,2015-09-08,bottled water,17,3,2
4170,2015-05-03,sausage,15,3,3
1109,2015-04-06,citrus fruit,12,3,1
3429,2015-01-04,shopping bags,18,3,1
2055,2015-02-04,newspapers,17,3,1
2480,2015-09-20,frankfurter,13,3,3
2441,2015-05-30,sausage,15,3,3
1054,2015-10-04,frankfurter,9,3,2
4818,2015-01-11,salt,8,3,2
3379,2015-01-21,oil,5,3,2
3939,2015-02-10,curd,5,3,1
1367,2015-08-05,other vegetables,5,3,1
1043,2015-01-10,citrus fruit,8,3,1
2231,2015-10-17,frankfurter,15,3,3
3235,2015-12-28,root vegetables,7,3,2
4554,2015-07-16,tropical fruit,9,3,1
3245,2015-01-24,beef,18,3,3
2996,2015-05-19,berries,14,3,1
2507,2015-01-05,canned beer,13,3,4
4186,2015-10-25,whipped/sour cream,3,3,1
3929,2015-04-28,root vegetables,9,3,2
3760,2015-11-22,whole milk,15,5,8
4928,2015-08-18,beef,3,3,1
4217,2015-12-18,frozen vegetables,25,3,2
1174,2015-02-11,rolls/buns,11,3,1
4103,2015-06-19,whole milk,9,3,3
4408,2015-03-13,whole milk,9,3,6
2588,2015-12-28,citrus fruit,5,3,3
2598,2015-11-11,pastry,3,3,4
1518,2015-12-11,frankfurter,7,3,6
2702,2015-04-08,tropical fruit,9,3,4
1001,2015-01-20,frankfurter,12,3,1
2270,2015-09-30,berries,22,3,2
2838,2015-11-10,rolls/buns,7,3,2
1683,2015-05-26,root vegetables,5,3,4
4040,2015-04-03,yogurt,11,3,5
3897,2015-08-23,other vegetables,13,3,7
2200,2015-03-11,berries,10,3,1
4073,2015-01-29,berries,14,3,2
3700,2015-04-19,other vegetables,3,3,7
3973,2015-06-10,rolls/buns,16,3,2
2715,2015-07-06,ham,15,3,1
3967,2015-11-23,whole milk,16,3,4
4002,2015-09-03,tropical fruit,14,3,3
2962,2015-03-01,bottled water,9,3,1
4340,2015-12-25,butter milk,13,3,1
2092,2015-11-06,newspapers,17,3,1
3143,2015-05-24,coffee,6,3,1
2209,2015-10-03,bottled beer,14,3,2
2816,2015-08-22,onions,24,3,1
2659,2015-06-01,hamburger meat,16,3,1
1588,2015-10-13,sausage,8,3,3
1144,2015-10-15,hard cheese,16,3,1
2166,2015-12-10,sausage,15,3,1
3300,2015-10-06,hamburger meat,11,3,1
3944,2015-01-03,onions,3,3,1
4979,2015-04-24,coffee,7,3,1
2630,2015-01-21,shopping bags,7,3,4
4240,2015-04-29,yogurt,15,3,3
2357,2015-07-08,soda,20,3,3
1743,2015-04-18,sliced cheese,14,3,1
2331,2015-02-15,sausage,13,2,5
1643,2015-04-28,yogurt,4,2,6
1291,2015-03-20,domestic eggs,12,2,2
3675,2015-07-04,whole milk,11,2,4
4134,2015-11-06,meat,14,2,1
1363,2015-06-21,dish cleaner,13,2,2
4212,2015-05-01,other vegetables,11,2,4
1500,2015-03-21,whole milk,16,2,3
2622,2015-10-01,other vegetables,12,2,3
3543,2015-03-18,tropical fruit,22,2,4
2525,2015-05-24,baking powder,11,2,1
1264,2015-10-12,specialty bar,17,2,1
3601,2015-07-06,ice cream,8,2,1
1771,2015-03-23,frankfurter,6,2,1
4694,2015-02-06,canned beer,20,2,1
1122,2015-12-21,bottled water,6,2,4
3507,2015-08-12,other vegetables,18,2,3
4524,2015-04-26,citrus fruit,22,2,6
3612,2015-09-27,sausage,14,2,2
3262,2015-06-11,domestic eggs,16,2,1
1897,2015-01-25,pork,8,2,2
1656,2015-10-30,specialty cheese,12,2,1
3953,2015-01-10,pork,9,2,1
1488,2015-06-21,beef,8,2,2
1652,2015-03-17,other vegetables,12,2,2
4953,2015-09-16,chicken,16,2,1
3445,2015-04-30,soda,6,2,5
3180,2015-03-15,whole milk,36,2,4
4934,2015-09-06,rolls/buns,8,2,4
2980,2015-04-27,bottled beer,7,2,1
2763,2015-02-13,root vegetables,10,2,2
4819,2015-03-04,pastry,12,2,3
3169,2015-07-02,berries,6,2,2
1850,2015-03-11,citrus fruit,8,2,2
4285,2015-12-29,whole milk,8,2,6
4366,2015-08-13,soda,2,2,2
2253,2015-06-16,bottled water,6,2,2
3398,2015-03-11,tropical fruit,11,2,2
2215,2015-07-22,salty snack,14,2,1
3737,2015-03-03,bottled water,33,2,3
2649,2015-11-28,chocolate,9,2,1
3203,2015-08-07,citrus fruit,12,2,1
4261,2015-02-16,bottled water,12,2,1
2435,2015-07-17,onions,12,2,2
2046,2015-08-21,dessert,5,2,1
4267,2015-02-11,beef,14,2,1
1086,2015-12-28,rolls/buns,14,2,2
1992,2015-01-04,beef,8,2,2
3622,2015-07-26,soda,10,2,1
4700,2015-06-27,coffee,16,2,2
2272,2015-05-16,rolls/buns,13,2,6
1663,2015-05-19,pork,13,2,4
2519,2015-06-03,soda,14,2,3
2639,2015-10-30,sausage,8,2,3
1466,2015-04-19,beef,23,2,1
4122,2015-10-23,whole milk,9,2,5
3598,2015-04-15,pork,4,2,2
3097,2015-08-10,berries,2,2,1
1873,2015-09-19,sausage,6,2,4
1537,2015-02-01,bottled water,5,2,1
3960,2015-03-25,tropical fruit,23,2,3
1136,2015-06-15,herbs,19,2,2
2453,2015-12-21,yogurt,15,2,2
1746,2015-02-15,Instant food products,10,2,1
3572,2015-06-09,specialty chocolate,4,2,1
3246,2015-06-24,coffee,22,2,1
3207,2015-11-26,bottled beer,15,2,1
1042,2015-02-12,beef,6,2,2
1176,2015-03-30,whole milk,14,2,2
3054,2015-02-23,frankfurter,18,2,4
4486,2015-12-02,frankfurter,26,2,1
1580,2015-12-05,other vegetables,16,2,6
1623,2015-11-02,frankfurter,12,2,1
4169,2015-11-24,whole milk,15,2,10
2254,2015-01-24,frankfurter,12,2,3
4095,2015-11-01,other vegetables,6,2,6
1264,2015-11-17,bottled water,17,2,1
3375,2015-01-06,pork,7,2,2
3242,2015-05-23,bottled water,8,2,1
2227,2015-06-07,other vegetables,5,2,2
3847,2015-12-03,hamburger meat,11,2,3
3897,2015-05-31,hamburger meat,13,2,1
1799,2015-09-27,shopping bags,9,2,2
2920,2015-04-26,whole milk,11,2,5
3713,2015-01-31,ice cream,8,2,1
4230,2015-11-05,pastry,9,2,1
1455,2015-03-18,ham,2,2,2
3687,2015-03-18,frankfurter,19,2,4
3869,2015-08-01,sausage,8,2,3
2988,2015-10-14,bottled beer,2,2,2
4242,2015-03-30,bottled water,7,2,3
4118,2015-12-24,meat,2,2,2
4996,2015-10-24,dessert,10,2,1
4489,2015-03-04,other vegetables,8,2,2
1199,2015-11-09,beverages,13,2,1
4108,2015-05-12,ham,14,2,2
3484,2015-06-05,specialty bar,23,2,1
1239,2015-08-31,brown bread,16,2,1
4839,2015-12-19,whole milk,8,2,3
4748,2015-05-07,rolls/buns,12,2,2
4426,2015-06-06,bottled beer,15,2,3
3571,2015-12-11,pet care,14,2,1
2852,2015-06-08,citrus fruit,2,2,3
3638,2015-05-26,pork,4,2,1
3635,2015-03-10,other vegetables,21,2,1
2723,2015-05-07,white wine,10,2,1
3495,2015-03-11,whole milk,22,2,7
2813,2015-11-16,pip fruit,16,2,2
2799,2015-09-02,sugar,21,2,1
4723,2015-05-22,tropical fruit,6,2,3
3313,2015-04-08,root vegetables,6,2,2
4748,2015-12-15,soda,12,2,4
2991,2015-02-16,whole milk,12,2,5
1483,2015-04-01,tropical fruit,20,2,2
3950,2015-10-01,white bread,15,2,1
1634,2015-01-16,brown bread,19,2,1
2694,2015-11-21,tropical fruit,19,2,1
2707,2015-10-18,domestic eggs,17,2,1
2813,2015-07-16,coffee,16,2,1
2276,2015-01-11,soda,7,2,1
4726,2015-02-06,whole milk,8,2,7
4353,2015-05-25,bottled beer,17,2,3
4017,2015-08-13,pork,8,2,4
1422,2015-08-21,other vegetables,19,2,6
2714,2015-03-15,yogurt,2,2,5
2769,2015-07-21,sparkling wine,12,2,1
4166,2015-04-30,bottled water,14,2,2
3614,2015-03-02,citrus fruit,10,2,2
4361,2015-09-05,hamburger meat,8,2,2
1922,2015-09-22,packaged fruit/vegetables,19,2,1
4728,2015-09-06,other vegetables,10,2,3
3646,2015-08-08,soda,9,2,4
1155,2015-08-10,whole milk,8,2,3
2119,2015-06-11,herbs,8,2,1
1602,2015-08-29,citrus fruit,14,2,1
1074,2015-06-24,misc. beverages,10,2,1
2256,2015-04-11,female sanitary products,9,2,1
1348,2015-09-17,soda,6,2,2
3806,2015-08-28,tropical fruit,7,2,2
1711,2015-06-06,soda,19,2,3
3959,2015-04-12,white bread,14,2,1
1590,2015-08-15,coffee,6,2,2
1962,2015-06-08,tropical fruit,10,2,7
1766,2015-01-21,pork,5,2,2
2551,2015-10-21,citrus fruit,6,2,3
2294,2015-09-23,frankfurter,23,2,4
4531,2015-05-29,frankfurter,17,2,1
2957,2015-04-12,frankfurter,19,2,4
4415,2015-01-27,other vegetables,8,2,4
1476,2015-08-26,yogurt,13,2,2
3978,2015-07-23,sausage,5,2,3
2062,2015-09-22,whole milk,8,2,6
3252,2015-06-28,pip fruit,12,2,2
3922,2015-06-24,whole milk,18,2,3
1491,2015-10-17,root vegetables,11,2,4
3526,2015-08-26,onions,10,2,1
4060,2015-12-11,specialty chocolate,7,2,1
1067,2015-04-08,hamburger meat,8,2,2
2840,2015-01-27,photo/film,15,2,1
4484,2015-11-27,rolls/buns,6,2,5
2353,2015-02-07,canned beer,9,2,3
3130,2015-02-18,canned beer,6,2,4
4273,2015-06-14,other vegetables,8,2,5
4565,2015-12-30,canned beer,2,2,2
2504,2015-08-14,curd,11,2,2
4127,2015-10-23,butter,11,2,1
2690,2015-04-01,other vegetables,17,2,4
4129,2015-09-22,whole milk,17,2,6
4511,2015-06-29,beef,7,2,2
1602,2015-08-04,sausage,14,2,3
4369,2015-02-01,soda,10,2,2
1302,2015-09-29,fruit/vegetable juice,10,2,1
3326,2015-04-30,rolls/buns,4,2,5
2066,2015-05-21,pip fruit,12,2,2
3483,2015-01-15,frozen vegetables,15,2,2
2840,2015-02-12,beverages,15,2,2
1807,2015-05-18,hamburger meat,6,2,2
2067,2015-08-12,root vegetables,9,2,1
3783,2015-02-17,canned beer,23,2,2
2884,2015-01-04,frozen vegetables,8,2,1
2908,2015-03-15,canned beer,8,2,1
1330,2015-07-10,newspapers,11,2,1
2293,2015-05-08,rolls/buns,19,2,5
3718,2015-05-20,hamburger meat,18,2,1
4338,2015-01-25,pip fruit,28,2,2
3486,2015-11-08,canned beer,12,2,2
3635,2015-09-04,grapes,21,6,2
2857,2015-02-18,root vegetables,15,2,3
3684,2015-08-13,citrus fruit,13,2,2
3120,2015-10-20,cling film/bags,24,2,1
3872,2015-03-19,frankfurter,30,2,3
2777,2015-04-07,whole milk,10,2,4
2702,2015-05-27,pork,9,2,3
4796,2015-06-29,chicken,14,2,3
1564,2015-10-23,sausage,8,2,3
2740,2015-07-02,specialty bar,4,2,1
1833,2015-04-13,whipped/sour cream,10,2,1
1757,2015-12-23,root vegetables,15,2,3
2975,2015-10-24,rolls/buns,13,2,1
4032,2015-08-10,other vegetables,4,2,4
3979,2015-09-16,citrus fruit,4,2,2
3772,2015-03-09,whole milk,8,2,6
4523,2015-10-28,frankfurter,12,2,2
4004,2015-04-19,coffee,10,2,2
2936,2015-06-08,ham,5,2,2
2394,2015-06-21,canned beer,29,2,1
4616,2015-08-16,canned beer,13,2,2
2362,2015-07-08,canned beer,14,2,2
3593,2015-11-03,pip fruit,23,2,3
4389,2015-08-27,pork,17,2,2
3206,2015-08-11,soap,12,2,1
4601,2015-01-04,pip fruit,15,2,1
4382,2015-11-13,beef,4,2,2
2718,2015-06-08,sausage,20,2,3
4691,2015-10-12,frozen chicken,8,2,1
3735,2015-11-28,soda,9,2,2
3900,2015-12-20,tropical fruit,14,2,2
4959,2015-06-30,other vegetables,12,2,1
1815,2015-08-30,beef,11,2,1
2454,2015-04-08,meat,20,2,2
4778,2015-01-15,meat,15,2,2
2289,2015-11-04,bottled water,16,2,3
1734,2015-07-13,rolls/buns,17,2,1
4019,2015-02-05,pastry,17,2,1
4605,2015-05-28,pork,6,2,3
4864,2015-11-14,pip fruit,25,2,3
4205,2015-02-22,beef,4,2,3
1862,2015-08-03,beef,15,2,1
1846,2015-07-19,rolls/buns,12,2,3
2019,2015-05-28,citrus fruit,18,2,1
2042,2015-11-19,meat,14,2,1
1768,2015-05-26,beverages,20,2,1
3847,2015-03-26,beef,11,2,2
3557,2015-07-20,ham,11,2,1
3975,2015-02-27,hamburger meat,4,2,2
4198,2015-03-18,beef,5,2,2
2580,2015-09-04,beef,12,2,1
3474,2015-08-25,root vegetables,16,2,3
1678,2015-11-14,citrus fruit,8,2,1
4254,2015-08-14,yogurt,6,2,2
4704,2015-08-21,tropical fruit,11,2,2
3343,2015-05-10,frankfurter,10,2,1
3812,2015-06-24,beef,20,2,1
3093,2015-03-13,shopping bags,2,2,1
2170,2015-06-18,canned beer,10,2,1
4867,2015-10-29,rolls/buns,11,2,5
3899,2015-03-23,other vegetables,16,2,6
2941,2015-10-03,hamburger meat,12,2,2
1958,2015-07-03,hamburger meat,7,4,1
2760,2015-08-08,frankfurter,23,2,3
4413,2015-08-03,bottled beer,7,2,2
1737,2015-05-15,tropical fruit,21,2,5
4202,2015-02-18,soda,13,2,3
1065,2015-11-13,frankfurter,14,2,2
3819,2015-06-28,chicken,10,2,1
2854,2015-02-08,coffee,11,4,1
4387,2015-09-16,whole milk,17,2,3
4530,2015-04-12,margarine,4,2,1
4191,2015-11-03,tropical fruit,13,2,3
3102,2015-12-04,meat,8,2,1
1946,2015-01-25,cream cheese ,12,2,3
